CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de l' Advocat Cirera,24,ADUHO,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5441,2.10129,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Advocat Cirera, 24 Bxs",Perruqueria i altres tractaments de bellesa
,c. de Joan Plans,27,ADVENTIA,activitat_econòmica,Construcció d'edificis residencials,41.5505,2.10729,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Joan Plans, 27 Bxs 4a",Construcció d'edificis residencials
,Rambla,139,ADVOCADA / MARCH & ASSOCIATS ASSESSORS,activitat_econòmica,Activitats jurídiques,41.5459,2.10736,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 139 2n",Activitats jurídiques
,c. de la República,6,ADVOCATS CAMPS,activitat_econòmica,Activitats jurídiques,41.5451,2.10033,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la República, 6 Bxs 1a",Activitats jurídiques
,rda. de Zamenhof,149,AEGON,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5423,2.11122,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Zamenhof, 149 Bxs 2a",Activitats d'agents i corredors d'assegurances
,Rambla,151,AG 25,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.5425,2.11089,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 151 Bxs 2a",Comerç al detall de peces de vestir en establiments especialitzats
,c. de Montserrat,22,AGPER ASSESSORIA D'EMPRESES,activitat_econòmica,Activitats jurídiques,41.5456,2.11011,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Montserrat, 22 Bxs",Activitats jurídiques
,Rambla,143,AGROPATRIMONIAL,activitat_econòmica,Promoció immobiliària,41.5421,2.11134,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 143 1r 2a",Promoció immobiliària
,c. de Gràcia,12,AGUSTI PERRUQUERS,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5431,2.10949,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 12 1r",Perruqueria i altres tractaments de bellesa
,c. de Sant Quirze,11,AIGUA DE MAR,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.5431,2.10949,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Quirze, 11 Bxs",Comerç al detall de peces de vestir en establiments especialitzats
,c. de Joaquín Costa,50,AINA CAR,activitat_econòmica,Lloguer d'automòbils i vehicles de motor lleugers,41.5422,2.11127,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 50 Bxs",Lloguer d'automòbils i vehicles de motor lleugers
,c. d' Alfons Sala,149,AL PAN PAN,activitat_econòmica,"Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establi",41.5474,2.1075,,,,sabadellempresa.cat,COVADONGA,1,"c. d' Alfons Sala, 149 Bxs 2a","Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats"
,c. de Sant Llorenç,41,ALARCON GRUPO,activitat_econòmica,Activitats de neteja ncaa,41.5466,2.10735,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Llorenç, 41 2n 2a",Activitats de neteja ncaa
,c. de les Paus,32,ALAYUL,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5477,2.11191,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Paus, 32 Bxs",Perruqueria i altres tractaments de bellesa
,c. de Zurbano,7,ALBIO TRASPORTS BCN SL,activitat_econòmica,"Transport de mercaderies per carretera, excepte servei de mudances",41.5466,2.09669,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Zurbano, 7 Ent 4a","Transport de mercaderies per carretera, excepte servei de mudances"
,Rambla,84,ALE-HOP,activitat_econòmica,"Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats",41.5466,2.11644,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 84 Bxs","Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats"
,c. de Montserrat,5,ALONSO CENTRE MEDIC DENTAL,activitat_econòmica,Activitats odontològiques,41.5474,2.11198,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Montserrat, 5 B Bxs",Activitats odontològiques
,c. del Vallès,65,ALPEZ COLOCACIONES SL,activitat_econòmica,Revestiments de terres i parets,41.5502,2.11099,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Vallès, 65 Bxs 5a",Revestiments de terres i parets
,Rambla,182,AMETLLER ORIGEN,activitat_econòmica,"Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en est",41.5408,2.1109,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 182 Bxs","Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en establiments no especialitzats"
,c. de Bonavista,67,AMORTIGUADORES BONAVENTURA,activitat_econòmica,Manteniment i reparació de vehicles de motor,41.5439,2.11019,,,,sabadellempresa.cat,COVADONGA,1,"c. de Bonavista, 67 Bxs",Manteniment i reparació de vehicles de motor
,Rambla,107,AMPLIFON,activitat_econòmica,Comerç al detall d'articles mèdics i ortopèdics en establiments especialitzats,41.5432,2.11006,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 107 Bxs",Comerç al detall d'articles mèdics i ortopèdics en establiments especialitzats
,c. de Joaquín Costa,94,AN RE NO,activitat_econòmica,Altres tipus de comerç al detall en establiments no especialitzats,41.5478,2.10038,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 94 Bxs",Altres tipus de comerç al detall en establiments no especialitzats
,pg. de la Plaça Major,24,ANDANA CAFE BAR,activitat_econòmica,Establiments de begudes,41.5488,2.10747,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de la Plaça Major, 24 Bxs",Establiments de begudes
,c. de les Valls,41,ANDRES ABOGADOS,activitat_econòmica,Activitats jurídiques,41.5407,2.11178,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Valls, 41 2n 1a",Activitats jurídiques
,pl. del Mercat,1,ANDREU XARCUTERIA I DEGUSTACIO P. 235-236 / 278-282,activitat_econòmica,Comerç al detall de carn i productes carnis en establiments especialitzats,41.5475,2.11795,,,,sabadellempresa.cat,EL CENTRE,1,"pl. del Mercat, 1 Bxs",Comerç al detall de carn i productes carnis en establiments especialitzats
