CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Turull,70,"Lda. Ricart Ollé, Meritxell",Salut - Medicina,Clínica/Consulta,Salut,41.5430,2.1100,,,,MGC Mútua,,1,Turull 70,8622
,Estrella,128,"Lda. Sánchez Echeverria, Montserrat",Salut - Medicina,Clínica/Consulta,Salut,41.5386,2.1050,,,,MGC Mútua,,1,Estrella 128,8622
,Carretera Terrassa,2,"Dra. No García, Clara",Salut - Medicina,Clínica/Consulta,Salut,41.5342,2.1155,,,,MGC Mútua,,1,Carretera Terrassa 2,8622
,Sallarès I Plà,67,Centro de Rehabilitación del Vallés - Sabadell,Salut - Medicina,Clínica/Consulta,Salut,41.5424,2.1140,,,,MGC Mútua,,1,Sallarès I Plà 67,8622
,Raval De Dins,,Moviment Nat,Salut - Medicina,Clínica/Consulta,Salut,41.5421,2.12092,,,,MGC Mútua,,1,Raval De Dins,8622
,Del Sol,165,Centre Mèdic Naeko,Salut - Medicina,Clínica/Consulta,Salut,41.5354,2.1074,,,,MGC Mútua,,1,Del Sol 165,8622
,Casanovas I Bosch,52,Consulta Dr. Martí Garin,Salut - Medicina,Clínica/Consulta,Salut,41.5410,2.1048,,,,MGC Mútua,,1,Casanovas I Bosch 52,8622
,Zurbano,7,Naeko rehabilitació,Salut - Medicina,Clínica/Consulta,Salut,41.5408,2.1111,,,,MGC Mútua,,1,Zurbano 7,8622
,Arimon,2,"Dr. Pi Folguera, Joan",Salut - Medicina,Clínica/Consulta,Salut,41.5405,2.1068,,,,MGC Mútua,,1,Arimon 2,8622
,Casanovas I Bosch,44,"Dr. Abad Gairín, Carlos",Salut - Medicina,Clínica/Consulta,Salut,41.5410,2.1048,,,,MGC Mútua,,1,Casanovas I Bosch 44,8622
,Concepció,1,Aptima Centre Clinic Mutua Terrassa – Sabadell,Salut - Medicina,Clínica/Consulta,Salut,41.5455,2.1112,,,,Asisa,,1,Concepció 1,8622
,Carrer De Gràcia,154,Labco – General Lab Sabadell,Salut - Medicina,Laboratori,Salut,41.5474,2.1070,,,,Asisa,,1,Carrer De Gràcia 154,8622
,Carrer Indústria,19,Consultori Dr. Cabestany,Salut - Medicina,Clínica/Consulta,Salut,41.5474,2.1070,,,,Asisa,,1,Carrer Indústria 19,8622
,Illa,52,Imagen Médica Digital Servicios Diagnósticos Sa,Salut - Medicina,Clínica/Consulta,Salut,41.5421,2.1060,,,,Asisa,,1,Illa 52,8622
,Carrer Gràcia,78,Centre De Radiologia Dr. Duran,Salut - Medicina,Clínica/Consulta,Salut,41.5474,2.1070,,,,Asisa,,1,Carrer Gràcia 78,8622
,Avinguda De Francesc Macià,20,Centro Médico Sanitas Sabadell,Salut - Medicina,Clínica/Consulta,Salut,41.5534,2.0983,,,,Sanitas,,1,Avinguda De Francesc Macià 20,8622
,Carrer Pare Sallarès,8,Sanident Associats,Salut - Dental,Clínica dental,Activitats odontològiques,41.5449,2.1078,,,,AXA Salud,,1,Carrer Pare Sallarès 8,
,Carrer d'en Font,28,Clínica Dental Sabadell,Salut - Dental,Clínica dental,Activitats odontològiques,41.5469,2.1058,,,,AXA Salud,,1,Carrer d'en Font 28,
,Passeig de la Plaça Major,1,Óptica Andorrana,Salut - Òptica,optician,Òptica,41.546913,2.1085349,,,,OSM,,1,Passeig de la Plaça Major 1,
,Carrer del Pare Sellares,2,Centre Mèdic de Sabadell,Salut - Medicina,clinic,Sanitat,41.5451,2.1079,,937265500,,Sanitas,,1,Carrer del Pare Sellares 2,
,Avinguda de Francesc Macià,40,Diagnostics Sabadell,Salut - Medicina,doctors,Sanitat,41.5528,2.0984,,937162627,,Sanitas,,1,Avinguda de Francesc Macià 40,
