CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,Calle Valls,28,"BONED PLANELLS, A.",Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.548425,2.107056,http://anaboned.wix.com/psicologa,651732357,,qdq_2026,,1,Calle Valls 28,
,Calle Valls,28 2º 6ª,GAP,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.548425,2.107056,http://www.gap-sabadell.com,649112199,,qdq_2026,,1,Calle Valls 28 2º 6ª,
,Calle Josep Renom,42,CENTRE PSICOPEDAGÒGIC DE LA ROSA,Salut - Psicologia,Centre psicopedagògic,Psicologia i Salut Mental,41.550734,2.103442,http://www.cpdelarosa.com,937250798,,qdq_2026,,1,Calle Josep Renom 42,
,Carrer Vallés,77,CERCA PSICOLOGÍA ONLINE,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.5481202,2.1001915,https://cercapsicologiaonline.com/,613613488,,qdq_2026,,1,Carrer Vallés 77,
,Calle Valles,95,TERAPIA NEURAL. SABADELL,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.548643,2.099905,http://www.terapianeural.com,937278068,,qdq_2026,,1,Calle Valles 95,
,Calle Estrella,211-217,PSICOSENS,Salut - Psicologia,Psicòleg,Psicologia i Salut Mental,41.550246,2.101381,http://lauramedinapsicologia.webs.tl,648017262,,qdq_2026,,1,Calle Estrella 211-217,
,Carrer de Calderón,10,"CENTRO MEDICO DEL VALLES, S.L.",Salut - Medicina,Centre mèdic,Medicina / Salut,41.548344,2.106889,,937269144,,qdq_2026,,1,Carrer de Calderón 10,
,Carrer de Gràcia,51-53,CENTRE MÈDIC CONDUCTOR SABADELL,Salut - Medicina,Centre mèdic,Medicina / Salut,41.547949,2.106771,,937272958,,qdq_2026,,1,Carrer de Gràcia 51-53,
,Carrer de la Rambla,172,PSYNCRON,Salut - Medicina,Psicologia / Salut mental,Medicina / Salut,41.541637,2.111296,,937279344,,qdq_2026,,1,Carrer de la Rambla 172,
,Carrer Escola Industrial,11,CENTRO MÉDICO ESCOLA INDUSTRIAL,Salut - Medicina,Centre mèdic,Medicina / Salut,41.547806,2.106604,http://www.centromedicoescolaindustrial.com,937260362,,qdq_2026,,1,Carrer Escola Industrial 11,
,Carrer de Gràcia,87,GRACIA VALLES,Salut - Medicina,Centre mèdic,Medicina / Salut,41.54854,2.106243,http://www.cmgraciavalles.com,937274987,,qdq_2026,,1,Carrer de Gràcia 87,
,Carrer de Pare Sallarès,8,CENTRO MEDICO SABADELL,Salut - Medicina,Centre mèdic,Medicina / Salut,41.548356,2.103988,http://www.clinicum.es,937265500,,qdq_2026,,1,Carrer de Pare Sallarès 8,
,Passeig de Manresa,19,JESLET MEDICAL SL.,Salut - Medicina,Centre mèdic,Medicina / Salut,41.5487168,2.1081655,https://www.dorsia.es/,937378052,,qdq_2026,,1,Passeig de Manresa 19,
,Carrer de Zurbano,7,"NAEKO, S.L.",Salut - Medicina,Centre mèdic,Medicina / Salut,41.540783,2.110678,http://www.naeko.net,937278501,,qdq_2026,,1,Carrer de Zurbano 7,
,Carrer de la Rambla,198-200,DR. J. LUELMO,Salut - Medicina,Consulta mèdica,Medicina / Salut,41.539684,2.112246,,937155835,,qdq_2026,,1,Carrer de la Rambla 198-200,
,Carrer de Sallarès i Pla,67,CENTRO REHABILITACION DEL VALLES,Salut - Medicina,Centre de rehabilitació,Medicina / Salut,41.54408,2.113113,,937255577,,qdq_2026,,1,Carrer de Sallarès i Pla 67,
,Carrer de la Indústria,47,CENTRE MEDIC FUSTER,Salut - Medicina,Centre mèdic,Medicina / Salut,41.547461,2.113339,http://www.salusxxi.com,937250155,,qdq_2026,,1,Carrer de la Indústria 47,
,Carrer de Casanovas i Bosch,62,"IBAÑEZ FARNES, P.",Salut - Medicina,Consulta mèdica,Medicina / Salut,41.546889,2.114021,,937271948,,qdq_2026,,1,Carrer de Casanovas i Bosch 62,
,Plaça de Sant Roc,22,COTTET ÒPTICS,Salut - Òptica,Òptica,Òptica,41.545953,2.108259,http://www.cottet.es,937466192,,qdq_2026,,1,Plaça de Sant Roc 22,
,Carrer Horta Novella,69,"VIADE I JULIA, J.",Salut - Medicina,Podòleg,Salut,41.54399,2.104697,,937259404,,qdq_2026,,1,Carrer Horta Novella 69,
,Carrer de Colom,50,"BELLVER FORES, J.",Salut - Medicina,Podòleg,Salut,41.546139,2.103149,,937267679,,qdq_2026,,1,Carrer de Colom 50,
,Rambla,5,GENERAL ÓPTICA,Salut - Òptica,Òptica,Òptica,41.546018,2.10925,http://www.generaloptica.es,937255555,,qdq_2026,,1,Rambla 5,
,Carrer de l'Escola Pia,98,"CARRICAS NOGUERA, M.J.",Salut - Medicina,Podòleg,Salut,41.548359,2.101182,,937264416,,qdq_2026,,1,Carrer de l'Escola Pia 98,
,Carrer de Sant Pau,159,REMEI MOIX,Salut - Medicina,Podòleg,Salut,41.540152,2.108962,,937450692,,qdq_2026,,1,Carrer de Sant Pau 159,
,Carrer de Casanovas i Bosch,46,CENTRE MEDICINA CORRECTIVA,Salut - Medicina,Fisioterapia,Salut,41.546944,2.114618,http://www.cmcsl.org,937257199,,qdq_2026,,1,Carrer de Casanovas i Bosch 46,
,Carrer del Riego,62,"CANO GARRIGA, A.",Salut - Medicina,Podòleg,Salut,41.543793,2.113329,,937251306,,qdq_2026,,1,Carrer del Riego 62,
,Carrer de la Font,6,CENTRE DE REHABILITACIÓ VINCEÇ BORDAS I CUSCÓ,Salut - Medicina,Fisioterapia,Salut,41.547041,2.105748,,937258500,,qdq_2026,,1,Carrer de la Font 6,
,Carrer de l'Estrella,167,"RODRIGUEZ CREUS, T.",Salut - Medicina,Fisioterapia,Salut,41.549122,2.10186,,937459587,,qdq_2026,,1,Carrer de l'Estrella 167,
,Carrer de Josep Renom,42,SALUESPORT,Salut - Medicina,Fisioterapia,Salut,41.550686,2.103417,http://www.saluesport.com,693817487,,qdq_2026,,1,Carrer de Josep Renom 42,
,Carrer de la Torre,28-34,CLÍNICA DENTAL VITAL DENT SABADELL II,Salut - Medicina,Clínica dental,Salut,41.543205,2.123549,http://www.vitaldent.com,937155808,,qdq_2026,,1,Carrer de la Torre 28-34,
,Carrer del Sol,35,CLINICA DENTAL SALES,Salut - Medicina,Clínica dental,Salut,41.545096,2.109076,,937277501,,qdq_2026,,1,Carrer del Sol 35,
,Carrer de Corominas,35,ZIVING,Salut - Medicina,Clínica dental,Salut,41.54743,2.10427,https://ziving.com/,649810439,,qdq_2026,,1,Carrer de Corominas 35,
,Carrer de Garcilaso,1,CLINICA GARCILASO,Salut - Medicina,Clínica dental,Salut,41.550721,2.106951,,937278171,,qdq_2026,,1,Carrer de Garcilaso 1,
,Carrer de Jovellanos,36,CLINICA DENTAL DR. CARLOS PLA,Salut - Medicina,Clínica dental,Salut,41.54843,2.105169,,937259978,,qdq_2026,,1,Carrer de Jovellanos 36,
,Carrer de Tres Creus,154,GIRALT CLINIC,Salut - Medicina,Clínica dental,Salut,41.546155,2.114729,http://www.giraltclinic.com,937466330,,qdq_2026,,1,Carrer de Tres Creus 154,
,Carrer de la Font,6-10,CENTRE DE REHABILITACIÓ VINCEÇ BORDAS I CUSCÓ,Salut - Medicina,Fisioterapia,Salut,41.547041,2.105748,,937258500,,qdq_2026,,1,Carrer de la Font 6-10,
,Rambla,41,RIBAS OPTICS,Salut - Medicina,Òptica,Salut,41.544997,2.109791,,937259967,,qdq_2026,,1,Rambla 41,
,Carrer de Casanovas i Bosch,46-50,CENTRE MEDICINA CORRECTIVA,Salut - Medicina,Fisioterapia,Salut,41.546944,2.114618,http://www.cmcsl.org,937257199,,qdq_2026,,1,Carrer de Casanovas i Bosch 46-50,
,Rambla,5-7,GENERAL ÓPTICA,Salut - Medicina,Òptica,Salut,41.546018,2.10925,http://www.generaloptica.es,937255555,,qdq_2026,,1,Rambla 5-7,
,Carrer de la Salut,141,COL·LECTIU DE FISIOTERAPEUTES DE SABADELL,Salut - Medicina,Fisioterapia,Salut,41.552256,2.111804,,937278125,,qdq_2026,,1,Carrer de la Salut 141,
,Carrer de Zurbano,,"HERNÁNDEZ GONZÁLEZ, J.",Salut - Medicina,Psicologia,Salut,41.539952,2.107614,http://www.jeronihernandezcoaching.com,937118342,,qdq_2026,,1,Carrer de Zurbano,
,Carrer de l'Estrella,211-217,PSICOSENS,Salut - Medicina,Psicologia,Salut,41.550246,2.101381,,648017262,,qdq_2026,,1,Carrer de l'Estrella 211-217,
,Carrer de Josep Renom,42,CENTRE PSICOPEDAGÒGIC DE LA ROSA,Salut - Medicina,Psicologia,Salut,41.550734,2.103442,http://www.cpdelarosa.com,937250798,,qdq_2026,,1,Carrer de Josep Renom 42,
,Carrer de Sant Oleguer,77,HOSPITAL VETERINARI DE SABADELL,Salut - Medicina,Veterinari,Salut,41.541588,2.112537,https://www.hospitalveterinariosabadell.com,937271125,,qdq_2026,,1,Carrer de Sant Oleguer 77,
,Carrer del Sol,179,DOLORS RAMÍREZ PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.540165,2.110788,,669098721,,qdq_2026,,1,Carrer del Sol 179,
,Carrer de Vallès,95,TERAPIA NEURAL. SABADELL,Salut - Medicina,Psicologia,Salut,41.548643,2.099905,http://www.terapianeural.com,937278068,,qdq_2026,,1,Carrer de Vallès 95,
,Carrer de Puigcerdà,2,CENTRE DE GINER DE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.545378,2.101175,http://www.cginer.es,931001877,,qdq_2026,,1,Carrer de Puigcerdà 2,
,Carrer de Valls,28,"BONED PLANELLS, A.",Salut - Medicina,Psicologia,Salut,41.548425,2.107056,http://anaboned.wix.com/psicologa,651732357,,qdq_2026,,1,Carrer de Valls 28,
,Rambla,172,"ARTIGAS PALLARES, J.",Salut - Medicina,Psicologia,Salut,41.541637,2.111296,,937276154,,qdq_2026,,1,Rambla 172,
,Carrer de les Planes,2,SIS CENTRE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.544046,2.109926,http://www.centresis.com,661567998,,qdq_2026,,1,Carrer de les Planes 2,
,Carrer de Valls,28,GAP,Salut - Medicina,Psicologia,Salut,41.548425,2.107056,http://www.gap-sabadell.com,649112199,,qdq_2026,,1,Carrer de Valls 28,
,Carrer de l'Escola Industrial,,PSIQUE CENTRO DE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.547869,2.106688,,667715303,,qdq_2026,,1,Carrer de l'Escola Industrial,
,Carrer de Vallès,77,CERCA PSICOLOGIA ONLINE,Salut - Medicina,Psicologia,Salut,41.5481202,2.1001915,https://cercapsicologiaonline.com/,613613488,,qdq_2026,,1,Carrer de Vallès 77,
,Carrer de l'Estrella,128,ABORA,Salut - Medicina,Psicologia,Salut,41.547573,2.102833,http://www.abora.info,937254672,,qdq_2026,,1,Carrer de l'Estrella 128,
,Carrer de Vallès,42,VEIE SABADELL,Salut - Medicina,Psicologia,Salut,41.5471106,2.100904,,660011094,,qdq_2026,,1,Carrer de Vallès 42,
,Carrer de Lacy,62,"VENTURA PALLAROLS, C.",Salut - Medicina,Psicologia,Salut,41.544383,2.112312,,937478401,,qdq_2026,,1,Carrer de Lacy 62,
,Carrer de Blasco de Garay,25,GABINET PSICOLOGIC JARDI,Salut - Medicina,Psicologia,Salut,41.545026,2.115055,,937256703,,qdq_2026,,1,Carrer de Blasco de Garay 25,
,Carrer de Blasco de Garay,84,SERENA DEL PINO PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.5424886,2.1161253,,626946198,,qdq_2026,,1,Carrer de Blasco de Garay 84,
,Carrer de Sant Oleguer,,GABINET D'ASSESSORAMENT CLINIC I PSICOPEDAGOGIC GAMA,Salut - Medicina,Psicologia,Salut,41.540761,2.112803,http://www.gamasabadell.com,937259913,,qdq_2026,,1,Carrer de Sant Oleguer,
,Passeig de Manresa,20,PSICOLOGIA CLINICA CENTRE,Salut - Medicina,Psicologia,Salut,41.548634,2.108308,http://www.psicologiaclinicasabadell.es,937276549,,qdq_2026,,1,Passeig de Manresa 20,
,Carrer de Sant Joan,4,PSICOESPAI,Salut - Medicina,Psicologia,Salut,41.548188,2.109337,http://www.psicoespai.es,653023718,,qdq_2026,,1,Carrer de Sant Joan 4,
,Carrer de la Rambla,5,GENERAL ÓPTICA,Salut - Medicina,Òptica,Salut i Benestar,41.546018,2.10925,http://www.generaloptica.es,937255555,,qdq_2026,,1,Carrer de la Rambla 5,
,Carrer de la Rambla,213,OPTICA GUFFO,Salut - Medicina,Òptica,Salut i Benestar,41.540553,2.111945,,937267029,,qdq_2026,,1,Carrer de la Rambla 213,
,Carrer de la Rambla,41,RIBAS OPTICS,Salut - Medicina,Òptica,Salut i Benestar,41.544997,2.109791,,937259967,,qdq_2026,,1,Carrer de la Rambla 41,
,Carrer Josep Renom,42,SALUESPORT,Salut - Medicina,Fisioterapia,Salut i Benestar,41.550686,2.103417,http://www.saluesport.com,693817487,,qdq_2026,,1,Carrer Josep Renom 42,
,Carrer Font,6-10,CENTRE DE REHABILITACIÓ VINCEÇ BORDAS I CUSCÓ,Salut - Medicina,Fisioterapia,Salut i Benestar,41.547041,2.105748,,937258500,,qdq_2026,,1,Carrer Font 6-10,
,Carrer Estrella,167,"RODRIGUEZ CREUS, T.",Salut - Medicina,Fisioterapia,Salut i Benestar,41.549122,2.10186,,937459587,,qdq_2026,,1,Carrer Estrella 167,
,Carrer Casanovas i Bosch,46-50,CENTRE MEDICINA CORRECTIVA,Salut - Medicina,Fisioterapia,Salut i Benestar,41.546944,2.114618,http://www.cmcsl.org,937257199,,qdq_2026,,1,Carrer Casanovas i Bosch 46-50,
,Carrer Salut,141,COL.LECTIU DE FISIOTERAPEUTES DE SABADELL,Salut - Medicina,Fisioterapia,Salut i Benestar,41.552256,2.111804,,937278125,,qdq_2026,,1,Carrer Salut 141,
,Carrer Calderón,38-42,CENTRE DENTAL SABADELL,Salut - Medicina,Clínica Dental,Salut i Benestar,41.548145,2.106173,http://www.centredentalsabadell.com,937268238,,qdq_2026,,1,Carrer Calderón 38-42,
,Carrer Garcilaso,1,CLINICA GARCILASO,Salut - Medicina,Clínica Dental,Salut i Benestar,41.550721,2.106951,,937278171,,qdq_2026,,1,Carrer Garcilaso 1,
,Carrer Torre,28-34,CLÍNICA DENTAL VITAL DENT SABADELL II,Salut - Medicina,Clínica Dental,Salut i Benestar,41.543205,2.123549,http://www.vitaldent.com,937155808,,qdq_2026,,1,Carrer Torre 28-34,
,Carrer Gràcia,103,CLÍNICA ORTODONCIA DRA. MARRERO,Salut - Medicina,Clínica Dental,Salut i Benestar,41.548647,2.105956,http://dramarrero.com/onsomc.html,937257562,,qdq_2026,,1,Carrer Gràcia 103,
,Carrer Latorre,54,"PEJOAN PAGES, C.",Salut - Medicina,Dentista,Salut i Benestar,41.539089,2.110995,,937259200,,qdq_2026,,1,Carrer Latorre 54,
,Carrer Corominas,35,ZIVING,Salut - Medicina,Clínica Dental,Salut i Benestar,41.54743,2.10427,https://ziving.com/,649810439,,qdq_2026,,1,Carrer Corominas 35,
,Carretera Barcelona,121,MON DE SOMRIURES,Salut - Medicina,Dentista,Salut i Benestar,41.541264,2.105138,http://www.mondesomriures.com,937277995,,qdq_2026,,1,Carretera Barcelona 121,
,Plaça Sant Roc,22,COTTET ÒPTICS,Salut - Medicina,Òptica,Salut,41.545953,2.108259,http://www.cottet.es,937466192,,qdq_2026,,1,Plaça Sant Roc 22,
,Carrer Escola Industrial,13,OPTICA MARTIN,Salut - Medicina,Òptica,Salut,41.547743,2.106533,,937259342,,qdq_2026,,1,Carrer Escola Industrial 13,
,Carrer Sant Cugat,22,ÒPTICA SAMARANCH,Salut - Medicina,Òptica,Salut,41.545659,2.105192,,937277014,,qdq_2026,,1,Carrer Sant Cugat 22,
,Carrer Corominas,15,VISTA ÓPTICA,Salut - Medicina,Òptica,Salut,41.547038,2.104435,http://www.vistaoptica.com,937273752,,qdq_2026,,1,Carrer Corominas 15,
,Carrer Les Planes,2,SIS CENTRE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.544046,2.109926,http://www.centresis.com,661567998,,qdq_2026,,1,Carrer Les Planes 2,
,Carrer Sol,179,DOLORS RAMÍREZ PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.540165,2.110788,,669098721,,qdq_2026,,1,Carrer Sol 179,
,Carrer Estrella,211-217,PSICOSENS,Salut - Medicina,Psicologia,Salut,41.550246,2.101381,http://lauramedinapsicologia.webs.tl,648017262,,qdq_2026,,1,Carrer Estrella 211-217,
,Carrer Vallès,95,TERAPIA NEURAL. SABADELL,Salut - Medicina,Psicologia,Salut,41.548643,2.099905,http://www.terapianeural.com,937278068,,qdq_2026,,1,Carrer Vallès 95,
,Carrer Puigcerdà,2,CENTRE DE GINER DE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.545378,2.101175,http://www.cginer.es,931001877,,qdq_2026,,1,Carrer Puigcerdà 2,
,Carrer Estrella,128,ABORA,Salut - Medicina,Psicologia,Salut,41.547573,2.102833,http://www.abora.info,937254672,,qdq_2026,,1,Carrer Estrella 128,
,Carrer Escola Industrial,,PSIQUE CENTRO DE PSICOLOGIA,Salut - Medicina,Psicologia,Salut,41.547869,2.106688,,667715303,,qdq_2026,,1,Carrer Escola Industrial,
,Carrer Valls,28,"BONED PLANELLS, A.",Salut - Medicina,Psicologia,Salut,41.548425,2.107056,http://anaboned.wix.com/psicologa,651732357,,qdq_2026,,1,Carrer Valls 28,
,Carrer Valls,28,GAP,Salut - Medicina,Psicologia,Salut,41.548425,2.107056,http://www.gap-sabadell.com,649112199,,qdq_2026,,1,Carrer Valls 28,
,Carrer Zurbano,,"HERNÁNDEZ GONZÁLEZ, J.",Salut - Medicina,Psicologia,Salut,41.539952,2.107614,http://www.jeronihernandezcoaching.com,937118342,,qdq_2026,,1,Carrer Zurbano,
765,c. del Portal de la Floresta,25,Farmacia Planas-Codinach,Farmàcies,pharmacy,pharmacy,41.5760979,2.0862118,,+34937167574,"Mo-Sa 09:00-13:30,16:30-20:30",OSM,,,c. del Portal de la Floresta 25,
1085,c. de Juvenal,12,"Farmàcia Herrero Torres, Ignacio",Farmàcies,pharmacy,pharmacy,41.5552276,2.0850427,,+34937160827,,OSM,,,c. de Juvenal 12,
1410,av. de la Concòrdia,48,"Farmàcia Cruset Garrell, Núria",Farmàcies,pharmacy,pharmacy,41.5601246,2.0951319,,+34937230794,,OSM,,,av. de la Concòrdia 48,
1025,c. de la Lusitània,2,"Farmàcia Colomina Brusau, M. Rosa",Farmàcies,pharmacy,pharmacy,41.5581798,2.095087,,+34937162335,,OSM,,,c. de la Lusitània 2,
1388,c. de Covadonga,310,Farmàcia Tres Creus,Farmàcies,pharmacy,pharmacy,41.5463688,2.1171732,,+34937258185,"Mo,Sa 09:00-14:30,16:30-20:30",OSM,,,c. de Covadonga 310,
774,c. de Plini el Vell,1-5,,Farmàcies,pharmacy,pharmacy,41.5581711,2.0858445,,+34937165497,"Mo-Fr 09:00-13:30,16:30-20:30",OSM,,,c. de Plini el Vell 1-5,
1500,c. de Candanchú,31,"Farmàcia de Cáceres Botello, José Ignacio",Farmàcies,pharmacy,pharmacy,41.572842,2.0892669,,+34937163171,,OSM,,,c. de Candanchú 31,
1458,c. de Castellar del Vallès,222,C.A.P. Creu Alta,Salut - Medicina,clinic,clinic,41.5605371,2.1003567,,,,OSM,,,c. de Castellar del Vallès 222,
841,c. del Papa Pius XI,116,"Clínica accidentes de tráfico, Sabadell",Salut - Medicina,clinic,clinic,41.5535059,2.1027843,,,,OSM,,,c. del Papa Pius XI 116,
1184,c. de Gràcia,78 bis,Clínica Radiografía,Salut - Medicina,clinic,clinic,41.5490955,2.105812,,,,OSM,,,c. de Gràcia 78 bis,
450,c. de Zurbano,3 baix-B,Centre Radiològic SBD,Salut - Medicina,doctors,doctors,41.540815,2.1111115,http://www.crsbd.info,+34 937450324,"Mo, We 08:30-13:00,15:30-19:00; Tu, Th 08:30-13:00,15:30-20:00; Fr 08:30-13:00,15:30-17:00",OSM,,,c. de Zurbano 3 baix-B,
965,av. de Matadepera,7,"Farmàcia Relat Vidal, Jordi",Farmàcies,pharmacy,pharmacy,41.5635881,2.0905697,,+34937161065,,OSM,,,av. de Matadepera 7,
452,rda. de Zamenhof,145,"Farmàcia Pareja Cozcolluela, Josep Manel",Farmàcies,pharmacy,pharmacy,41.5504459,2.1002161,http://www.farmaciapareja.com,+34 937265628,"Sa,Su 09:00-22:00; Mo-Fr 08:00-22:00",OSM,,,rda. de Zamenhof 145,
569,c. de Sol i Padrís,116,"Farmàcia Capdevila Bassols, Anna M.",Farmàcies,pharmacy,pharmacy,41.5353796,2.1194049,,+34937122574,,OSM,,,c. de Sol i Padrís 116,
767,rda. de Ponent,1,"Farmàcia Corominas Riqué, Cristina",Farmàcies,pharmacy,pharmacy,41.5448666,2.0996551,,+34937269704,,OSM,,,rda. de Ponent 1,
659,c. de Sallarès i Pla,140,"Farmàcia Garriga Majo, Marta",Farmàcies,pharmacy,pharmacy,41.5424785,2.1139767,,+34937259757,,OSM,,,c. de Sallarès i Pla 140,
1370,raval de Dins,17,Consulta Dra. Imma Viñolas,Salut - Medicina,doctors,doctors,41.5497711,2.1081885,https://www.draimmavinolas.com/,,Mo-Su 09:00-18:00,OSM,,,raval de Dins 17,
1538,c. de Borràs,8,"Farmàcia Garrell Capdevila, Joan",Farmàcies,pharmacy,pharmacy,41.5516125,2.1036518,,,"PH,Mo-Su 09:00-22:00",OSM,,,c. de Borràs 8,
756,ctra. de Prats de Lluçanès,84-89,"Farmàcia Torres Costa, L. / Matarranz Torres, L.",Farmàcies,pharmacy,pharmacy,41.5569889,2.1020879,,+34937161383,"Mo-Fr 09:00-13:30,16:45-20:15+; PH,Su off; Sa 09:00-13:30,16:45-20:15; Sa off",OSM,,,ctra. de Prats de Lluçanès 84-89,
1466,c. del Carme,10,"Farmàcia Bagan Tapioles, Montserrat",Farmàcies,pharmacy,pharmacy,41.5487159,2.1113324,,+34937250303,,OSM,,,c. del Carme 10,
469,c. de Viladomat,20-24,"Farmàcia Mujal Viñals, Assumpció",Farmàcies,pharmacy,pharmacy,41.5400118,2.1049833,,+34937100543,,OSM,,,c. de Viladomat 20-24,
1588,av. de Barberà,226,"Farmàcia Bofi Martinez, Patricia",Farmàcies,pharmacy,pharmacy,41.5350045,2.114534,,+34938545286,,OSM,,,av. de Barberà 226,
978,pl. de Marquilles,4,"Farmàcia Pons Samaranch, Isabel",Farmàcies,pharmacy,pharmacy,41.5460525,2.1056977,,+34937256745,"PH,Mo-Su 09:00-22:00",OSM,,,pl. de Marquilles 4,
1674,via Alexandra,37,"Farmàcia Puig Camarero, Lluis",Farmàcies,pharmacy,pharmacy,41.5550041,2.0875782,,,,OSM,,,via Alexandra 37,
507,c. de València,19,"Farmàcia Martín Poveda, Ma. Dolores",Farmàcies,pharmacy,pharmacy,41.5657766,2.0957131,,+34937166238,,OSM,,,c. de València 19,
1009,c. de Malta,70,"Farmàcia Busquet Mitjà, M. Àngels",Farmàcies,pharmacy,pharmacy,41.5470038,2.0836812,,+34937204911,,OSM,,,c. de Malta 70,
1587,ctra. de Barcelona,219,"Farmàcia Montané Bombardó, Glòria",Farmàcies,pharmacy,pharmacy,41.5386801,2.1077842,,+34937260539,,OSM,,,ctra. de Barcelona 219,
1609,pl. de Còrdova,14-15,"Farmàcia Franco García, M. Pilar",Farmàcies,pharmacy,pharmacy,41.5609502,2.0826251,,+34937465026,,OSM,,,pl. de Còrdova 14-15,
560,c. de Tàcit,1,"Farmàcia Borrás Urtubia, Teresa",Farmàcies,pharmacy,pharmacy,41.5513339,2.0853661,,+34937161120,,OSM,,,c. de Tàcit 1,
470,c. de Vila Cinca,89,"Farmàcia Escarra Caldes, Pere",Farmàcies,pharmacy,pharmacy,41.5562216,2.1051443,,+34937162311,,OSM,,,c. de Vila Cinca 89,
1587,ctra. de Barcelona,74,"Farmàcia Marcet Vicens, Jordi",Farmàcies,pharmacy,pharmacy,41.541889,2.1043095,,+34937478020,,OSM,,,ctra. de Barcelona 74,
1524,c. de Brutau,187,"Farmàcia Montserrat Marco, M. Antònia",Farmàcies,pharmacy,pharmacy,41.5379091,2.1164587,,+34937103645,,OSM,,,c. de Brutau 187,
770,av. de Polinyà,65,"Farmàcia Borja Fernandez, Laia",Farmàcies,pharmacy,pharmacy,41.5611258,2.12868,,+34937252920,,OSM,,,av. de Polinyà 65,
780,pg. de la Plaça Major,29,Farmàcia Anna Garriga Majó,Farmàcies,pharmacy,pharmacy,41.5475242,2.1084229,,+34937255353,,OSM,,,pg. de la Plaça Major 29,
1444,c. de Cèsar Torras,132,"Farmàcia Blanchart Tintó, Meritxell",Farmàcies,pharmacy,pharmacy,41.5408286,2.0959904,,+34937267104,,OSM,,,c. de Cèsar Torras 132,
1260,c. Florit,28,"Farmàcia Tous Geulen, Josep M.",Farmàcies,pharmacy,pharmacy,41.56262,2.1034496,,+34937168458,,OSM,,,c. Florit 28,
621,c. de Sant Isidor,80,"Farmàcia Mora Palà, Mireia",Farmàcies,pharmacy,pharmacy,41.5525699,2.0828473,,+34937163052,,OSM,,,c. de Sant Isidor 80,
641,rda. de Santa Maria,28 A,"Farmàcia Esteban, M. Teresa - Lopera, M. Teresa",Farmàcies,pharmacy,pharmacy,41.5318087,2.1212239,,+34937102295,,OSM,,,rda. de Santa Maria 28 A,
1590,c. de Balmes,83-85,"Farmàcia Sala Alegre, E. - Roca Huergo, S.I.",Farmàcies,pharmacy,pharmacy,41.5406821,2.1188733,,+34937270594,,OSM,,,c. de Balmes 83-85,
1588,av. de Barberà,299,"Farmàcia Fàbregas Martínez, Marta",Farmàcies,pharmacy,pharmacy,41.5321623,2.1161845,,+34937101337,,OSM,,,av. de Barberà 299,
1588,av. de Barberà,48,"Farmàcia Rosell Gras, Maria",Farmàcies,pharmacy,pharmacy,41.5382021,2.1129724,,+34937101343,,OSM,,,av. de Barberà 48,
542,ctra. de Terrassa,316,"Farmàcia Gadea Melo, Olga",Farmàcies,pharmacy,pharmacy,41.5471264,2.0902055,,+34937262371,,OSM,,,ctra. de Terrassa 316,
839,av. dels Paraires,26,"Farmàcia Grimalt Sancho, J - Vives Grimalt, MP",Farmàcies,pharmacy,pharmacy,41.5550314,2.0938334,,+34937165113,,OSM,,,av. dels Paraires 26,
549,c. de Tenerife,52,"Farmàcia Manent Margarit, Meritxell",Farmàcies,pharmacy,pharmacy,41.5449011,2.0874707,,+34937264420,,OSM,,,c. de Tenerife 52,
631,c. de Sant Cugat,95,"Farmàcia Merce Sora, Anabel",Farmàcies,pharmacy,pharmacy,41.5441024,2.1036801,,+34937254325,,OSM,,,c. de Sant Cugat 95,
1427,c. de Colom,13,"Farmàcia Crusafont Sabaté, Anna M.",Farmàcies,pharmacy,pharmacy,41.5469636,2.1054543,,+34937250777,,OSM,,,c. de Colom 13,
542,ctra. de Terrassa,377,"Farmàcia Carrera Graño, Rosa Maria",Farmàcies,pharmacy,pharmacy,41.5481955,2.0853367,,+34937264449,,OSM,,,ctra. de Terrassa 377,
1065,c. de la Llanera,93,"Farmàcia Bonet Ortiz, M. Teresa",Farmàcies,pharmacy,pharmacy,41.5694743,2.0916567,,+34937167133,,OSM,,,c. de la Llanera 93,
714,c. dels Reis Catòlics,39,"Farmàcia Ferrer San José, Carles",Farmàcies,pharmacy,pharmacy,41.5262992,2.113672,,+34937104336,,OSM,,,c. dels Reis Catòlics 39,
