CODNUM,NUMCOM,TIPUS,CODVIA,NOMVIA,LAT,LNG
210446,8I,,424,camí de Can Buxó,41.55781879,2.11627288
210489,14I,,446,ctra. Antiga de Caldes,41.55826435,2.12640102
210839,259,,1400,c. de Copenhaguen,41.56173054,2.07905883
210850,281,,1400,c. de Copenhaguen,41.56237574,2.07885133
210851,283,,1400,c. de Copenhaguen,41.56247361,2.07882173
210962,157,,488,c. de Varsòvia,41.5619655,2.07993098
211066,135,,488,c. de Varsòvia,41.56020371,2.08085849
211214,203,,1400,c. de Copenhaguen,41.55962786,2.07962013
211221,217,,1400,c. de Copenhaguen,41.56005947,2.07957148
214069,91I,,660,c. de Sallarès i Marra,41.53929653,2.11733243
214951,2,,39016,c. d' Itàlia,41.54881286,2.07701639
214962,24,,39016,c. d' Itàlia,41.54824203,2.07723408
214964,28,,39016,c. d' Itàlia,41.5481481,2.07728625
200630,71,,18024,c. de Susqueda,41.55045852,2.12891752
200620,53,,18024,c. de Susqueda,41.54822101,2.1290218
200611,37,,18024,c. de Susqueda,41.54748227,2.12920191
200604,3,,18027,c. de la Baells,41.54705047,2.12910386
214973,46,,39016,c. d' Itàlia,41.54770456,2.07758165
215951,7,,9262,c. del Poble Sahrauí,41.54325497,2.08648524
216030,36,,9258,c. del Kurdistan,41.54461657,2.08487716
216065,4,,39019,c. d' Estònia,41.5461302,2.08433487
216326,36,,39015,c. d' Hongria,41.54740893,2.08004092
216086,13,,39015,c. d' Hongria,41.54694206,2.08235268
216303,10,,39009,pg. del Regne Unit,41.548637,2.07975883
216381,50,,39009,pg. del Regne Unit,41.54710044,2.08034253
216440,87,,39007,rda. de Jean Monnet,41.54476031,2.08077019
216474,153,,39007,rda. de Jean Monnet,41.54198826,2.08420305
216093,74,,9258,c. del Kurdistan,41.54664079,2.08238894
216492,1,,39017,c. de Bèlgica,41.54260647,2.08235737
216541,220,,39007,rda. de Jean Monnet,41.5409223,2.08765189
216610,10,,39007,rda. de Jean Monnet,41.54942424,2.07857271
216630,61,,39006,c. de França,41.54789349,2.07687331
216651,103,,39006,c. de França,41.54656993,2.07782481
216662,1,,39013,c. d' Eslovènia,41.54700912,2.07881067
216669,15,,39013,c. d' Eslovènia,41.54681652,2.07793866
216686,48,,39007,rda. de Jean Monnet,41.54673327,2.07895676
216787,82,,39016,c. d' Itàlia,41.5465375,2.07844974
216788,84,,39016,c. d' Itàlia,41.54649394,2.07848463
216793,92,,39016,c. d' Itàlia,41.54630866,2.07863496
216804,112,,39016,c. d' Itàlia,41.54583382,2.07903323
216808,120,,39016,c. d' Itàlia,41.54564402,2.079198
216813,105,,39006,c. de França,41.54651557,2.07786731
216826,131,,39006,c. de França,41.54591443,2.07835425
216837,151,,39006,c. de França,41.54545794,2.07874386
216907,215,,39006,c. de França,41.54286296,2.08102823
217010,142,,39007,rda. de Jean Monnet,41.54255787,2.08261888
217165,29,,9258,c. del Kurdistan,41.54603194,2.08202131
217166,1,,39028,parc de Can Gambús,41.54574961,2.08178165
219491,3D,,450,c. de Zurbano,41.5408896,2.11113986
220641,116,,1348,c. de Domènech i Montaner,41.52928593,2.10395359
221017,2E,,1499,c. de Can Cinto,41.54138137,2.13083455
221048,15A,,515,c. de Turull,41.54527475,2.11364079
221064,14,,1350,pl. de Dolors Miralles,41.54520926,2.11373921
221336,53B,,1115,c. de Joaquim Sorolla,41.55005065,2.08700652
221657,45B,,1512,c. de Calderón,41.54745555,2.10415902
224488,350,,53,Riu Ripoll,41.58007441,2.08663662
224529,3,,197,Charesa,41.55185775,2.1408436
224606,10,,1342,c. de Dublín,41.55395179,2.0835363
224856,905,,756,ctra. de Prats de Lluçanès,41.58120426,2.09016896
225052,9,,751,pl. del Principat,41.56301837,2.09269572
225436,65T,,845,c. de les Palmeres,41.57553352,2.08832389
225706,131,,1391,c. de Costa i Deu,41.52592308,2.09953016
225909,59B,,1296,av. d' Estrasburg,41.56169481,2.08526072
226513,3,,520,parc de les Aigües,41.56003432,2.08501614
60358,96,,467,c. de Vilarrúbias,41.55316968,2.11061907
216244,30,,39012,c. de Dinamarca,41.54948569,2.07910071
216376,7,,39014,c. d' Eslovàquia,41.54555655,2.08024813
216468,141,,39007,rda. de Jean Monnet,41.54259923,2.08317076
216426,140,,39009,pg. del Regne Unit,41.5427134,2.08379533
228331,30,,1337,rda. de l' Ebre,41.54678468,2.12805031
232763,221B,,381,camí de Ripollet a Castellar,41.56874899,2.11696422
58001,21,,1289,c. de Fàtima,41.52509012,2.1079106
58002,19,,1289,c. de Fàtima,41.52514568,2.10787965
58007,21,,910,c. de Moragas i Barret,41.52449927,2.1077521
58010,5,,963,c. de Maty Mont,41.52514018,2.1075953
58021,40,,1289,c. de Fàtima,41.52457849,2.10804613
58067,22,,1258,ptge. de Foix,41.52822431,2.10990699
58096,51,,1185,c. de Goya,41.52706768,2.10884145
58097,49,,1185,c. de Goya,41.52742192,2.10898564
58102,36,,1277,c. de Fernán Caballero,41.52787847,2.10886176
58104,41,,1185,c. de Goya,41.52796216,2.10840681
58117,9,,478,c. dels Viatjants,41.52781138,2.11144528
58118,11,,478,c. dels Viatjants,41.52776768,2.11128689
58133,2,,806,c. de Pereda,41.52963107,2.10594873
58144,128,,1421,pg. del Comerç,41.52908299,2.10647067
58166,103,,1421,pg. del Comerç,41.52964215,2.10955172
58168,99,,1421,pg. del Comerç,41.52966684,2.10964147
58175,11,,1045,c. de Lluís Creus,41.52885272,2.10975443
58195,7,,1258,ptge. de Foix,41.52865451,2.10984055
58200,55,,1505,c. de Campoamor,41.52851202,2.10928365
58202,12,,1258,ptge. de Foix,41.52849852,2.10977298
58222,4,,1631,c. dels Aprestadors,41.52951645,2.11184112
58158,137,,1421,pg. del Comerç,41.52896183,2.10702209
58227,2,,1533,c. de Bosch i Cardellach,41.54182904,2.11153284
58233,167,,724,Rambla,41.54151544,2.11159578
58242,2,,1445,c. de Cervantes,41.54180912,2.11113035
58248,19,,1445,c. de Cervantes,41.54161199,2.1107867
58254,75,,1445,c. de Cervantes,41.54107924,2.10885261
58265,41,,1445,c. de Cervantes,41.54139448,2.11000117
59921,38,,1422,c. de les Comèdies,41.54946663,2.11058319
59927,3,,1249,c. de la Font Nova,41.54940094,2.11128095
59936,2,,1036,c. de la Lluna,41.54917677,2.11094747
59971,17,,522,c. de les Tres Creus,41.54665904,2.11059879
59981,63,,522,c. de les Tres Creus,41.54647209,2.11137827
59983,59,,522,c. de les Tres Creus,41.54651063,2.11121676
60001,7,,891,c. de Narcís Giralt,41.54644443,2.11023635
60016,79,,1476,c. de Capmany,41.55121805,2.10602778
60021,69,,1476,c. de Capmany,41.55102864,2.10612488
60027,10,,627,c. de Sant Francesc,41.55092649,2.10759357
60028,12,,627,c. de Sant Francesc,41.55094369,2.10764283
60029,14,,627,c. de Sant Francesc,41.550962,2.10769519
60031,18,,627,c. de Sant Francesc,41.55099806,2.10779824
60034,28,,627,c. de Sant Francesc,41.55108955,2.10805965
60058,73,,1401,c. del Convent,41.55162314,2.10792114
60072,7,,627,c. de Sant Francesc,41.55099517,2.10753671
60080,50,,966,via de Massagué,41.55119835,2.10705173
60094,18,,467,c. de Vilarrúbias,41.55255007,2.10837017
60115,33,,568,c. de la Soledat,41.55194626,2.10968954
58223,125,,1069,c. de Lepant,41.53619797,2.10775015
60134,13,,626,c. de Sant Honorat,41.55143962,2.10878627
60135,11,,626,c. de Sant Honorat,41.55142336,2.1087411
60139,3,,626,c. de Sant Honorat,41.5513537,2.10854733
60145,74,,1401,c. del Convent,41.55143278,2.10817954
60152,88,,1401,c. del Convent,41.55179814,2.10795888
60161,106,,1401,c. del Convent,41.55214853,2.10774723
60174,76,,467,c. de Vilarrúbias,41.55297892,2.10992618
60178,75,,1353,c. del Doctor Xercavins,41.55287912,2.11008616
